VehicleID,TimeStamp,Lattitude,Longitude,VehicleBearing,Speed,RoadId,DirOfTravel
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771389,41.749972,-88.062147,265,53,4573343448,-4573343448
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771390,41.749963,-88.062306,265,50,4573343448,-4573343448
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771391,41.749958,-88.062447,265,47,1335864829,-1335864829
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771379,41.750049,-88.059973,267,75,1335864827,-1335864827
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771380,41.750043,-88.060231,267,73,1335864827,-1335864827
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771381,41.750036,-88.060474,267,70,1335864827,-1335864827
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771382,41.750032,-88.060716,267,69,4573343449,-4573343449
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771383,41.750021,-88.060942,267,68,4573343449,-4573343449
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771384,41.750019,-88.061168,267,67,4573343449,-4573343449
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771386,41.750004,-88.061593,266,62,4573343448,-4573343448
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771387,41.749991,-88.061792,265,62,4573343448,-4573343448
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771388,41.749983,-88.061977,265,58,4573343448,-4573343448
23890668,1514784585,41.7500331,-88.0612421,267,68,4573343449,-4573343449
18176568,1514779883,41.74988,-88.06705,269,64,8460193543,-8460193543
18176568,1514783919,41.74968,-88.06392,146,18,8461244180,-8461244180
18176568,1514783924,41.74934,-88.06375,158,36,8461244179,-8461244179
1060063,1514770410,41.75002,-88.06129,0,0,428043451,428043451
0eb594138499b09d1e3a055491c5ebdf,1514769568,41.74997,-88.06321,272,7,1335864828,-1335864828
1060063,1514769453,41.75002,-88.06129,268,69,4573343449,-4573343449
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771448,41.749853,-88.066602,267,57,4483200876,-4483200876
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771447,41.749854,-88.066377,267,55,5781502785,-5781502785
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771449,41.749855,-88.066831,267,59,4483200876,-4483200876
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771429,41.749916,-88.06348,268,11,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771398,41.749922,-88.063238,265,34,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771432,41.749906,-88.063759,267,31,1335864828,-1335864828
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771440,41.74987,-88.064978,267,46,7419044379,-7419044379
67fde9d4-ac89-534a-b761-c7d7c5b46eeb,1514771439,41.749877,-88.064796,267,44,7419044380,-7419044380
